# int	pos
20169	127516
20139	127520
20218	127519
20205	127518
20122	127519
20231	127520
20185	127520
20039	127519
20197	127519
20154	127523
20190	127518
20276	127518
20275	127518
20140	127516
20219	127516
20204	127520
20203	127516
20200	127522
20154	127521
20139	127523
20233	127513
20219	127515
20158	127521
20200	127518
20215	127520
20114	127519
20167	127524
20142	127517
20118	127515
20160	127517
20161	127520
20207	127518
20272	127521
20239	127523
20222	127522
20235	127519
20206	127521
20155	127514
20204	127520
20192	127519
20161	127517
20334	127518
20294	127515
20212	127517
20249	127518
20282	127519
20181	127520
20289	127517
20284	127523
20222	127520
20266	127521
20274	127516
20173	127518
20254	127522
20291	127518
20165	127519
20257	127519
20241	127518
20241	127521
20257	127521
20280	127516
20254	127520
20207	127519
20182	127522
20156	127516
20220	127518
20197	127514
20188	127514
20117	127520
20128	127518
20210	127520
20330	127520
20245	127514
20205	127521
20157	127519
20254	127519
20224	127516
20241	127518
20316	127525
20207	127521
20223	127521
20165	127518
20124	127520
20163	127515
20174	127516
20196	127514
20175	127518
20159	127517
20201	127513
20192	127518
20282	127518
20311	127522
20361	127518
20435	127519
20404	127518
20394	127515
20380	127516
20230	127521
20239	127523
20268	127515
20205	127515
20178	127519
20217	127518
20140	127517
20052	127516
20167	127521
20217	127519
20273	127518
20217	127517
20223	127517
20194	127518
20165	127519
20266	127519
20289	127519
20180	127519
20100	127519
20094	127517
20142	127516
20120	127517
20173	127523
20283	127520
20266	127520
20219	127520
20177	127520
20176	127519
20181	127522
20218	127517
20261	127517
20247	127523
20224	127519
20199	127518
20236	127519
20210	127519
20218	127518
20246	127517
20239	127517
20224	127515
20201	127516
20216	127520
20264	127519
20290	127518
20246	127517
20179	127519
20153	127520
20239	127520
20266	127521
20176	127521
20238	127521
20303	127515
20315	127522
20289	127521
20238	127521
20250	127519
20279	127515
20214	127517
20165	127517
20267	127518
20318	127522
20368	127518
20375	127518
20348	127515
20212	127520
20233	127518
20199	127519
20188	127522
20281	127520
20254	127520
20271	127524
20282	127518
20271	127519
20228	127520
20264	127520
20224	127519
20195	127518
20196	127518
20186	127518
20233	127519
20322	127512
20360	127509
20305	127515
20354	127523
20323	127523
20360	127521
20388	127515
20308	127514
20212	127521
20270	127518
20235	127521
20292	127521
20314	127514
20295	127516
20237	127519
20240	127520
20181	127517
20163	127515
20250	127518
20332	127518
20250	127521
20264	127521
20227	127516
20131	127521
20189	127519
20226	127515
20165	127521
20203	127521
20193	127521
20140	127515
20241	127518
20289	127519
20270	127517
20270	127512
20261	127518
20244	127519
20252	127517
20194	127521
20205	127522
20261	127519
20242	127522
20165	127518
20222	127520
20238	127519
20224	127517
20257	127519
20198	127522
20109	127519
20244	127520
20330	127521
20193	127522
20258	127522
20225	127516
20139	127520
20197	127521
20294	127521
20265	127518
20258	127515
20230	127518
20234	127517
20284	127520
20252	127519
20182	127518
20247	127518
20237	127519
20221	127522
20241	127520
20253	127522
20191	127518
20193	127514
20177	127520
20055	127517
20136	127522
20090	127523
20006	127517
20099	127517
20188	127517
20213	127520
20243	127523
20209	127520
20064	127517
20185	127520
20226	127521
20224	127516
20270	127518
20290	127523
20208	127516
20228	127520
20205	127516
20169	127522
20226	127522
20213	127517
20144	127515
20196	127516
20265	127517
20222	127523
20274	127521
20201	127523
20077	127516
20161	127516
20131	127520
20133	127513
20214	127520
20175	127519
20144	127519
20258	127518
20317	127517
20190	127514
20320	127518
20272	127518
20192	127524
20253	127522
20278	127517
20215	127515
20261	127516
20175	127515
20235	127517
20318	127515
20151	127518
20178	127522
20310	127515
20358	127518
20275	127516
20308	127518
20236	127516
20266	127520
20331	127516
20339	127520
20210	127517
20226	127518
20215	127522
20137	127519
20264	127519
20307	127518
20280	127516
20315	127518
20284	127519
20240	127520
20298	127519
20213	127520
20070	127515
20205	127518
20200	127519
20167	127519
20253	127519
20185	127520
20160	127521
20220	127518
20214	127521
20189	127515
20184	127519
20172	127518
20143	127520
20222	127518
20249	127520
20134	127516
20204	127516
20175	127518
20180	127518
20271	127519
20247	127519
20210	127522
20293	127519
20267	127519
20185	127514
20216	127521
20230	127518
20242	127523
20339	127518
20289	127514
20260	127522
20255	127520
20258	127524
20220	127518
20313	127519
20220	127518
20244	127516
20292	127517
20194	127520
20184	127523
20211	127520
20217	127520
20225	127522
20253	127518
20280	127520
20255	127519
20267	127518
20229	127520
20218	127520
20280	127518
20256	127520
20243	127519
20184	127518
20206	127521
20232	127519
20189	127521
20182	127511
20119	127519
20133	127517
20094	127518
20077	127518
20087	127522
20205	127520
20273	127518
20241	127520
20206	127519
20183	127520
20190	127520
20208	127522
20187	127523
20117	127517
20170	127514
20204	127518
20176	127515
20206	127514
20228	127520
20205	127520
20206	127521
20257	127519
20261	127518
20263	127518
20225	127521
20152	127515
20270	127518
20170	127521
20100	127515
20207	127519
20258	127517
20157	127521
20178	127521
20164	127519
20129	127518
20190	127520
20173	127519
20184	127521
20154	127519
20194	127519
20171	127519
20237	127521
20215	127521
20176	127522
20150	127519
20210	127521
20169	127522
20184	127520
20189	127514
20219	127518
20174	127522
20202	127522
20190	127519
20202	127521
20196	127519
20114	127515
20134	127522
20094	127516
20142	127519
20211	127518
20161	127522
20103	127515
20191	127520
20276	127522
20189	127519
20255	127520
20224	127519
20204	127521
